8,100,500,1000,2000,5,10,25,50
0,76517.0,76306.0,76780.0,76696.0,76810.0,77092.0,76632.0,77129.0
1,76670.0,76699.0,76611.0,76959.0,77168.0,77168.0,77299.0,77110.0
2,75799.0,75729.0,75762.0,75805.0,76275.0,76050.0,75995.0,75727.0
3,75912.0,76281.0,76086.0,76326.0,76806.0,76965.0,76981.0,76924.0
4,74959.0,75051.0,74843.0,75200.0,75391.0,75461.0,75004.0,75183.0
5,77579.0,77531.0,77531.0,77642.0,77819.0,77631.0,77853.0,77918.0
6,76566.0,76792.0,76761.0,76700.0,77513.0,77611.0,77495.0,76810.0
7,76009.0,76371.0,76485.0,76445.0,76787.0,76703.0,76847.0,76809.0
8,75846.0,75859.0,75979.0,76417.0,77051.0,76905.0,77197.0,77013.0
9,76126.0,75968.0,76172.0,76413.0,76340.0,76619.0,76610.0,76929.0
