3,vns,tabu_fixed_20,tabu_sin_10000_100
0,246773.570976,247263.856765,247263.856765
1,241945.769423,240845.32375,240873.616853
2,241503.85945,241454.164882,241024.651648
3,241685.317364,242527.567504,242532.465442
4,240230.94827,241529.774293,240408.244244
5,248476.624207,247701.801788,247460.645848
6,244334.681776,244882.259287,244765.648314
7,242982.234054,243863.688788,242121.20272
8,243389.90773,242888.350574,242625.125548
9,241828.694087,241577.281076,241256.313195
