7,200,201,202,203,204,205,206
0,94438.0,95165.0,95137.0,95165.0,95165.0,95008.0,94824.0
1,94439.0,94323.0,94014.0,94310.0,93990.0,93835.0,94117.0
2,95407.0,95189.0,94963.0,94778.0,95076.0,95061.0,95137.0
3,94923.0,94637.0,94850.0,94854.0,94682.0,94219.0,94146.0
4,93676.0,93751.0,93939.0,93354.0,93686.0,93874.0,94205.0
5,94793.0,94749.0,94741.0,94787.0,94719.0,94750.0,94643.0
6,95076.0,94980.0,94781.0,94762.0,94999.0,95106.0,94973.0
7,94137.0,95249.0,95026.0,95081.0,94543.0,94431.0,94107.0
8,95365.0,94698.0,94911.0,94523.0,94747.0,95190.0,95068.0
9,93186.0,93346.0,93402.0,92882.0,93247.0,93386.0,93319.0
10,92160.0,92388.0,92538.0,92290.0,92534.0,92470.0,92497.0
11,94849.0,94819.0,94852.0,94634.0,94852.0,94852.0,94740.0
12,95320.0,95260.0,95442.0,95065.0,95526.0,95369.0,95086.0
13,94470.0,94261.0,94204.0,93672.0,94205.0,94314.0,94320.0
14,93784.0,93392.0,93522.0,93784.0,93628.0,93784.0,93693.0
15,92988.0,91718.0,92436.0,92342.0,92784.0,92742.0,92417.0
16,95225.0,94952.0,95087.0,95001.0,95169.0,95001.0,95215.0
17,94602.0,94687.0,94876.0,94489.0,94810.0,94728.0,94873.0
18,94060.0,93752.0,93961.0,94149.0,94165.0,94074.0,94165.0
19,94961.0,95074.0,94992.0,94527.0,95487.0,95328.0,95407.0
