9,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1
0,77721.0,77721.0,77504.0,76128.0,75784.0,75419.0,76073.0,77337.0,77333.0
1,76955.0,76831.0,76648.0,76162.0,75045.0,75442.0,75282.0,76796.0,76090.0
2,76938.0,76831.0,76064.0,76065.0,74994.0,75239.0,74674.0,76216.0,76004.0
3,76657.0,76610.0,76514.0,76264.0,75416.0,75272.0,75374.0,74660.0,76052.0
4,75637.0,75637.0,75214.0,74584.0,74125.0,73646.0,74271.0,75420.0,74949.0
5,78484.0,78484.0,77780.0,77037.0,76785.0,76081.0,78345.0,78299.0,78218.0
6,77418.0,77213.0,77291.0,77055.0,76621.0,75720.0,77207.0,77352.0,76844.0
7,77155.0,77155.0,76925.0,75917.0,75565.0,75403.0,74783.0,75372.0,76786.0
8,76580.0,76498.0,76498.0,76183.0,74601.0,74361.0,75290.0,74905.0,76121.0
9,76468.0,76254.0,76003.0,75687.0,74998.0,74618.0,74811.0,74818.0,74108.0
10,75215.0,74855.0,74855.0,74611.0,73680.0,73280.0,73170.0,74652.0,74958.0
11,77954.0,77563.0,77370.0,77079.0,76247.0,76086.0,75548.0,76447.0,77202.0
12,76121.0,76121.0,75947.0,75663.0,75693.0,74532.0,74882.0,75054.0,75552.0
13,77123.0,77121.0,76651.0,76339.0,75222.0,74924.0,74524.0,75520.0,76333.0
14,76493.0,76369.0,76189.0,76193.0,75751.0,74763.0,74220.0,74983.0,76179.0
15,74841.0,74841.0,74841.0,74077.0,74023.0,73189.0,72902.0,74588.0,74654.0
16,77031.0,77031.0,76862.0,76813.0,76110.0,75961.0,75745.0,75621.0,75267.0
17,77906.0,77472.0,77758.0,76904.0,76235.0,75041.0,76024.0,77611.0,75544.0
18,76421.0,76421.0,76279.0,76194.0,75173.0,75111.0,74551.0,75128.0,75799.0
19,76966.0,76966.0,76966.0,76904.0,75966.0,76115.0,75240.0,76346.0,76878.0
