5,2.4,2.2,2.0,1.8,1.6
0,94746.0,94872.0,94426.0,94769.0,95108.0
1,93054.0,93435.0,93911.0,93221.0,93826.0
2,94169.0,94149.0,94042.0,94215.0,94053.0
3,94241.0,94013.0,93757.0,94545.0,93996.0
4,93471.0,93238.0,93408.0,92829.0,93929.0
5,94498.0,94173.0,93904.0,94628.0,94034.0
6,94022.0,94063.0,94492.0,94223.0,94324.0
7,94547.0,94301.0,94124.0,93910.0,94753.0
8,94551.0,94260.0,94074.0,95022.0,93810.0
9,92686.0,92404.0,92578.0,92825.0,92817.0
10,92516.0,91695.0,91755.0,92402.0,92153.0
11,94710.0,94719.0,94791.0,94791.0,94190.0
12,94422.0,94349.0,94781.0,94634.0,95086.0
13,94152.0,94427.0,94192.0,94024.0,94312.0
14,92501.0,93083.0,93229.0,92946.0,93021.0
15,91678.0,91865.0,91781.0,91578.0,91383.0
16,94076.0,94203.0,94568.0,94476.0,94227.0
17,94355.0,94407.0,94071.0,94000.0,94971.0
18,93149.0,93183.0,93565.0,93449.0,93378.0
19,94279.0,94457.0,94366.0,93862.0,94333.0
